jobOrResumeDescription,role
" : Kinesis Developer
: Mechanicsburg, PA
: 9+ Months
 
 :
?             Kinesis streams, Kinesis data analytics, Kinesis Firehose and Java/J2EE
 
 :
?             Experienced Developer with hands on knowledge, AWS Kinesis, Streams, Kinesis data analytics, Kinesis Firehose, Lambda, Apache Flink, Java/J2EE, AWS Cloud Formation Script, DevOps and AWS Cloud
 
:
?             Design and developer event streaming solution using Kinesis Data Streams
?             Analyze application  and configure Kinesis data streams for producers/consumers
?             Modify legacy Java application to send data streams to Kinesis
?             Write Kinesis data analytics SQL for data transformation and aggregation
?             Create s using Apache Flink for data processing
?             Create Lambda function using Java to persist stream data in MySQL RDS database
?             Create program to retry failed events
?             Perform data stream archival for replay
?             Create step by step guide for provisioning AWS resources
?             Create documentation on streaming / aggregation process WS platform",Developer
" : Sr. Consultant/ Manager Analytics
 : Dodgeville, WI
: Full Time
 
  :-
 
s & 
 

    ed as consulting lead for data science ? also acting as a conduit between data scientists and the business.
    Should be business oriented but should be able to translate business problems for data scientist team.
     on the latest applications of data science to solve business problems
     directly with client stakeholders to translate business problems into high level analytics solution designs
    Present analytic solutions to business audiences highlighting robustness of the solution and how it could help gene business value
    Responsible for managing analytics , collaborating with client stakeholders.
    Participate in discussions with team members to select and  relevant analytic techniques and create actionable business insights
    Responsible for making presentations to senior management, communicating results to business teams, and develop plans to help operationalize analytic solutions

 

 

    6+ years of professional  experience with at least 5 years in data analytics consulting
    Excellent knowledge of consulting on data science , common data sources, and business problems that could be addressed through analytics is 
    Ability to translate business problems to high level analytics solution approach
    Knowledge of statistical and machine learning algorithms
    Strong project management and team management  and ability to  with global teams
    Strong SQL  and hands-on experience with analytic  like R & Python & visualization  like Qlik or Tableau
    Ability to engage with executive/VP level stakeholders from client?s team
    Graduate in Business Analytics or MBA with equivalent  experience",Data Analyst
"
  and Key : Data Engineer, Python, SQL and Unix/Shell scripting
 
My name is Bill Stevens and I have a new six month contract to hire Data Engineer  located in either Midtown, Manhattan, Holmdel, New Jersey or Bethlehem, Pennsylvania that could be of interest to you, please review my specification below and I am available at any time to speak with you so please feel free to call me. The ideal candi will have the ability  from home 3-4 days per week, however he / she but must be within a reasonable distance to travel to one of the office s as needed for meetings. All potential candis will be  to take an SQL assessment quiz.  
 
Please let me know if Midtown, Manhattan, Holmdel, New Jersey or Bethlehem, Pennsylvania could be an option for you.
 
This  pays $70.00 per hour on a w-2 hourly basis or $77.00 per hour on a corp basis. The corp  is for independent contractors and not third party firms.
 
 Summary:
This  will be responsible for implementing and maintaining the enterprise wide data management solutions for certified analytics and reporting rectangles and data assets. This includes the analysis, design, development, testing, implementation, and initial maintenance of the solution and acting as interface with SME/Product owners and enterprise data analytics team, by taking a holistic approach for delivering reusable and data assets enabling data solutions.
 
:
Lead the design, build and execution of post source system extraction and data lake ingestion and business transformation, creation frame and development processes in production
Enhance analytic environments and platform  for structured, semi-structured and unstructured data
Develop data quality metrics that identify gaps and ensure compliance with Enterprise wide standards
Provide technical guidance for  and team members, along with SMEs and product owners
Build data pipelines to feed descriptive and predictive analytics use cases, KPI and enterprise wide reporting
Interface with architects, product managers/SMEs and product analysts to understand data needs and implement the business rules into transformation
Document the data blending process along with the specifications and flow/data lineage and automate the end-to-end process
Maintain/add to existing data dictionaries and  with UI team for creating the profiling platform and data profiling for already created CARRs
Lead the execution of project-based governance processes
 
Competencies//Knowledge:
BS or MS in Management Information Systems, Computer Science or a related field
Four to six years of data management experience
Proficient programming capability in Python, SQL/NoSQL and Unix/Shell scripting, as well as in data engineering, databases (e.g., SQL, MongoDB), platform architecture and ETL concepts
Amazon Web Services experience
Excellent communication and collaboration  to  across multiple groups within the organization
Experience providing technical leadership and mentoring other engineers for best practices on data engineering
Expert knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code re, source management, build processes, testing, and operation",Data Engineer
"
: Data  Engineer 

: Plano TX

Terms: Long Term Contract

 Details:

    Very strong data modeling 
    Analytical and problem-solving  & experience, applied to Big Data domain is a MUST
    1+ years of hands-on experience with SQL, Hadoop, Hive, Pig, Impala, and Spark
    Hive is a mandatory skill
    5-8 years of Python or Scala programming or Java/J2EE development experience
    3+ years of demonstd technical proficiency with Hadoop and big data ",Data Engineer
" : Cloud Consultant
: Glen Allen, VA
: 5 months

Mandatory  :
Experience in Azure SQL, VNet, Redis Cache, Azure Diagnostics, OMS, Traffic Manager, CDN, Azure Notification Hubs, Azure Identity and Access Management Architect
In depth experience in integration of SSO / IAM with Azure.
Extensive use and experience in OpenID, OAuth2.0, SAML, MFA or SSO.
Resource should have experience in integrating application with MS Azure and ADFS
Experience with AD connect and Application proxy
Experience in creating session sharing mechanism between MS Azure/ADFS and CA SiteMinder.
Extensive experience in integrating and sharing sessions from CA SiteMinder to help client sunset CA Site Minder

Secondary  :
Certification in Microsoft Azure solutions",Data Scientist
": Data Analytics Consultant
: Basking Ridge, NJ 
: 6 to 30 months Contract 
           
 :
 Immediate need for a talented Software Engineer with experience in the Telecom Industry.
This is a 07+ Months Contract opportunity with long-term potential and is located in Basking Ridge, NJ. Please review the   below.

Key :

    Build data analytics visualization app.
    This  will be responsible for design and implementation of big data analysis application.
    Data integration from various data sources.
    Build web service API to support data analytics algorithms.
    Perform data mining to study wireless net and device performance and quantify device quality.
    The candi should have a solid background in data analysis, wireless, and computer science.

Key  and  Experience:

    Master or PhD Degree in Electrical Engineering, Computer Science, Software Engineering, Computer Engineering, Information System etc.
    6+ years? hands-on experience designing and implementing data applications in production using Java/ Python/ R and etc on big data platform.
    6+ years? hands-on experience with related/complementary open source software platforms and languages such as Java, Linux, Apache, Open Street Map, D3.js and etc.
    Must have proven records of papers published in wireless analytics space in IEEE or other effective journals.
    Must be proficient in the use of different databases such as Spark, Hadoop, Hive, MySQL, TeraData, MS SQL Server, Oracle and etc.
    Must be proficient in the programming languages of Java, Java Scripts, Python, R, HTML and etc.
    Data extraction/transformation/loading, data mining, and statistical modeling experience .
    Strong analytical capabilities, creativity and critical thinking .
    Good mobile telecommunications industry knowledge, including experience with handset manufacturers, net equipment vendors, and/or chipset vendors.",Data Analyst
": Data Engineer
:  Wilmington DE

ing Experience Software/;
? Experience with big data : Hadoop, Apache Spark, Kafka, etc.
? Experience with relational SQL, Snowflake and NoSQL databases, including Postgres and Cassandra.
? Experience with data pipeline and flow management : NiFi, Kylo, Luigi, Airflow, Azkaban etc.
? Experience with AWS cloud services: S3, EC2, EMR, RDS, Redshift ? Experience with stream-processing systems: Storm, Spark-Streaming, etc.
? Experience with object-oriented/object function scripting languages: Python, Java, C++, PySpark, Scala, etc.

 for Data Engineer:
? Create and maintain optimal data pipeline architecture,
? Assemble large, complex data sets that meet functional / non-functional business .
? Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
? Build the infrastructure  for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ?big data? .
? Build analytics  that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
?  with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
? Keep our data sepad and secure across national boundaries through multiple data centers and AWS regions.
? Create data  for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
?  with data and analytics experts to strive for greater functionality in our data systems.",Data Engineer
": BI Analyst
 
: Fremont CA

Terms: Contract

 Details: 
 
 :

    Strong ability in translating business  and needs into analytic solutions, within multiple areas in IT and with various stakeholders, including key leaders and managers.
    Leverage data to understand in-depth IT business processes, identify areas of opportunity for process improvement.
    Write queries, analyze, visualize, and provide analytics on data to build reporting solutions to support various company initiatives. e.g., build rich and dynamic dashboards using Tableau.
    Develop a deep understanding of analytical data models.
    Support project development life cycles through data modeling, reporting, and analytics.
    Participate in the on-going development of the business intelligence and data warehousing functions within the wider organization.
    Create training materials to guide business users on how to use dashboards.
    Participate in the creation and support of development standards and best practices.
    Explore and recommend emerging  and techniques to support/enhance BI landscape components.
    Automate solutions where appropriate.

:

    At least 2-5 years of business intelligence and data warehouse experience.
    At least 2-year experience with ANSI SQL/ Presto / Hive/ MySQL.
    At least one year of experience with Tableau.
    Prefer a candi with scripting experience (Python/R/Javascript/PHP/Perl/Ruby/etc.).
    Prefer a candi with experience building and maintaining pipelines.
    Knowledge of ETL processes and designs.",Data Analyst
" : Junior Python Developer
 
My name is Bill Stevens and I have a new twelve month plus Junior Python Developer  located in either Dayton, New Jersey or Orangeburg, New York that could be of interest to you, please review my specification below and I am available at any time to speak with you so please feel free to call me.  
 
Please let me know if Dayton, New Jersey or Orangeburg, New York could be an option for you.
 
Due to client confidentiality please call me for the w-2 and contract s. The s that are being offered are lucrative and are above fair market value.
 
The firms Data Retention Team manages a complex Data backup, retention, and recovery system within their world class Data Center environments. The team?s mission is to ensure stability within Engineering by providing Data Retention, Recovery, and Archiving services for the firms production systems.
 
:
Automate operational processes.
Build infrastructure as code and automate away the toil.
Be involved in transforming the legacy infrastructure and processes into cutting edge self-service as well as providing dynamic transparency.
Help ensure daily backup activities are reliable throughout our enterprise infrastructure.
Assist in designing, developing, implementing and documenting  to provide services to clients which will interface with the firms data retention operations
Help build out a RESTful API using Swagger
Understand and interact with RDBMS and NoSQL databases
 
:
Someone who has experience in automating repeatable processes.
Have a proven track record of successfully integrating processes by building Infrastructure as code.
ing with infrastructure with an eye on streamlining operations.
The ideal candi should be well versed with Python and who understands GitHub and CI/CD  such as Jenkins.
Experience with programming - Python 
Knowledge of GitHub, APIs, and SDLC concepts
Knowledge of UNIX, Linux (all flavors), Windows
Knowledge of HAProxy, gunicorn, and Flask. (Or equivalents)
ing knowledge of JIRA concepts and processing
ing knowledge of monitoring and reporting 
Knowledge of Veritas NetBackup software administration (NetBackup 8.x or higher)
ed with large scale tape hardware management as well as net storage (Netapp and Isilon)
The ideal candi should possess the ability to  independently and in a team environment under multiple deadlines
The ideal candi should possess the ability to quickly pick up new  and learn new software quickly
 
Education Qualification:
BS in Computer Science/Information  or equivalent experience
 
US citizens and those authorized to  in the US are encouraged to , sponsorship for this  is not available at this time.
 
The interview process will include an initial telephone screening.
 ",Developer
" : Data Scientist

 : Philadelphia , PA

Experience : 7-10 Years

Interview: Telephonic & Skype

 Type: Full-time

 

 :

    Data Scientist will be responsible for preprocessing of structured and unstructured data.
    Analyze large amounts of information to discover trends and patterns.
    Build predictive models and machine-learning algorithms.
    Propose solutions and stgies to business challenges

 

 :

    Experience using Statistical and Machine Learning algorithms on real data, in commercial environments. Experience in the Telecom Domain is a big plus.  
    Excellent and wide ranging experience in supervised and unsupervised learning. Reinforcement learning a plus.
    Experienced in the use and design of logistic regression, support vector machines, ensemble trees, and neural nets. Optimization problems a plus
    Familiarity and experience with the standard machine learning packages, such as numpy, scipy scikit-learn, TensorFlow, keras and Theano
    Experience in data munging, data cleansing etc.
    Experience in feature selection, feature engineering and development of recommender systems.
    Very Good Knowledge on one and more Statistical Tool like R/Python
    Excellent communication and interpersonal , with proven ability to take initiative and build strong, productive relationships.
    Good to have experience in Net Analytics. Building a strong intuitive understanding of the problem domain (Next Generation Access Nets).
    Influence and transform the end-to-end delivery process to maximize the value Customers gain from Analytics
    Should be able to handle multiple  and liaison with customer different teams to bring overall value add.
    Should have strong people  and good team management experience.
    Identify testable hypotheses to explain interesting phenomena in this domain
    Constructing an automated system test frame
    Develop and communicate goals, stgies, tactics, project plans, timelines, and key performance metrics to reach goals
    Experience with public cloud (AWS) 
    Great communication 
    Proficiency in using query languages such as SQL
    Good scripting and programming , such as R, Python, or Spark",Data Scientist
": Big Data Lead

: Raritan- NJ

: -12 months

 

 & :

        Bachelor's degree in Computer Science, Software Engineering, Information , or related field 
        10-12 years of overall experience in architecting and building large scale, distributed big data solutions.
        Experience in at least 2-3 Big Data implementation .
        Solid experience in Hadoop Ecosystem development including HDFS, Hive, Spark,  Sqoop, Kafka, NiFi, and real time streaming  and host of big data open source stack.
        ing experience in Cloudera distribution is .
        Must possess excellent communication .
        Strong analytical, technical and trouble-shooting .
        Experience leading teams and/or managing loads for team members.
        Nice to have ing experience in Informatica BDM, StreamSets.",Data Scientist
"  - Azure .Net Developer
 - N/A, Georgia
 : 
 : Azure .Net Developer
: Atlanta, GA
 
? :
 
:

    Experience developing applications using Azure, .NET Core and C#
    Docker, Cosmos DB, Angular and Azure Data Factory
    Expert in ing with XSD and JSON
    Intermediate knowledge of Angular and Entity Frame
    Intermediate knowledge of SQL Server
    Experience using Agile development methodology
    Analyzes, designs, codes, tests, corrects, and documents mode to highly complex programs to ensure optimal performance and compliance
    Strong team player, excellent communication  both verbal and written
    Project background:
    Azure Data Factory pulls incoming data from Integration Point
    Azure Blob storage for Global Content data storage and archive
    Azure Kubernetes Service to host containerized Global Content services
    Azure API Management to expose Global Content services to BSIS and UI
    Azure App Services to host UI
    Azure Cosmos DB to storage Global Content data
    Azure Key Vault  
",Developer
"s: Hadoop/Spark Developer

: Mooresville, NC

Contract 

 

Desired Experience :

Hadoop / Spark developer

Min 3 years Scala (or Python), Spark

Expertise in Hive/ HBase, Scoop, Oozie

Exposure to Cloud would be nice to have

 

Primary : Spark Hive

Secondary HBase Oozie

 



Build Data pipeline

Building data source from source to target

As source changes ability to adapt

Build Production process to be completely automated and self-governed

? Education:
? Bachelor's Degree in computer science, Engineering or related field",Developer
" : Clinical Data Analyst ll
: 7+ months Contract
:  La Jolla, CA
 
The Scientist in this  will perform multivariate analysis of biomarker data in connection with Company Neuroscience clinical trials with the goals of providing  for patient screening, risk assessment, diagnosis and staging, and for developing biomarker-based patient subgroups. The scientist will gene hypotheses and vali those using independent data sets.  also include interfacing with CROs and data management teams to QC biomarker data and transfer them to clinical trial databases.

The successful candi will  with internal collaborators, and CROs to develop and vali biomarker signatures. S/he will interface internally with Project Scientists and Laboratory Personnel and interact outside of the immediate group with data management and scientists in Quantitative Sciences, Experimental Medicine and Clinical Development.

:
? A bachelor's degree in statistics/bioinformatics/biomedical engineering/genetics and genomics or related fields is .
? Hands-on experience with data processing and analysis, statistical inference techniques, multivariate analysis and/or machine learning is .
? A publication record, including first author publications in peer-reviewed journals, is a plus.
? Good communication  are .
 ",Data Analyst
